filename,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var
테스트\1.wav,0.3099465,0.090364054,1701.3503317098691,501676.2066320675,2177.106733202081,282617.1128630965,3593.690203138245,2984026.599736031,0.05992545122209664,0.0013951811872494192
테스트\2.wav,0.29930186,0.08997862,1731.4907009508086,484782.56953472516,2169.622805112688,231188.70445914424,3590.0199583071303,2673115.349962747,0.06093198227070434,0.0011765560710790873
테스트\3.wav,0.36929688,0.083437495,1884.447663916061,412647.4488962086,2290.536826436733,176017.82908431833,4108.760634816754,2086407.9884266914,0.07335978403141362,0.0013314857800792877
테스트\segments\1.wav,0.27644455,0.0918874,1535.230851700033,529661.4438611736,2100.5047064446276,397019.8513641378,3215.847220878483,3614541.052152919,0.048837573166602165,0.0013996917242335592
