filename,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var
1990\segment_1.wav,0.3458503,0.08181779,2266.8645596756332,562198.4047098521,2546.5607908901543,183321.10381664374,4984.993834642587,2933943.199050173,0.0982182932670246,0.002899078706367481
1990\segment_10.wav,0.31450737,0.08636797,2519.246980846039,553765.1157324531,2662.6478514816563,160760.42694748467,5583.694010786667,2483742.853519998,0.11414578174474303,0.0036611969618946232
1990\segment_11.wav,0.32995096,0.08504563,2048.22111911033,519012.5806888346,2258.6343435910085,212086.21556165544,4235.057832693659,2290725.4477110417,0.09792447214382027,0.004036210076562559
1990\segment_12.wav,0.33359063,0.087796226,2295.611130277264,1009475.6928331325,2453.48194443964,380432.05208287016,5025.881008213029,4407466.6887374595,0.09802712062900529,0.0060813720916267225
1990\segment_13.wav,0.33045435,0.08828445,2036.8612824079864,1375151.0249302974,2236.1454365235372,394895.35133747506,4097.272194497897,4884503.349974089,0.09808834428273569,0.010556615817115984
1990\segment_14.wav,0.37014487,0.094150044,2853.1735937439103,1223087.854319734,2644.4102351238494,151134.59437385274,5823.077907514927,3040251.493420899,0.13714441666574353,0.012338301541416382
1990\segment_15.wav,0.31066847,0.089756064,2148.3845415285214,908870.5234165018,2566.8005018166464,381977.4839226899,4933.48700340758,5069516.462087428,0.08444903372752026,0.00465630613921896
1990\segment_16.wav,0.4161571,0.08841938,3150.791400686025,685600.3085193711,2832.5592098661386,135147.975445691,6600.22097222554,1982916.8990392082,0.1607805744494076,0.006061385780780568
1990\segment_17.wav,0.3283579,0.091433294,2388.2008994527555,964281.2959453636,2571.1031010564957,205067.77594909546,5135.273132393688,3708245.2832938996,0.1054021712454473,0.007223837490393293
1990\segment_18.wav,0.35299835,0.08613346,2718.7398316140243,1098925.2526374175,2879.312182635786,142921.25663174244,6119.0373445680625,2691274.9509744197,0.11876093714432051,0.012560248983653217
1990\segment_19.wav,0.34523156,0.090210624,2483.6311017657904,541119.9389510107,2682.7431635201833,161774.50461097984,5598.528384797964,2285674.685399668,0.1090129150797247,0.004189090027277983
1990\segment_2.wav,0.38424486,0.086851984,2836.366447839063,1026110.867753052,2860.6153295375643,125316.41990081592,6224.470162898936,2504468.906992506,0.12944213980111008,0.008810127878333823
1990\segment_20.wav,0.31781942,0.09126244,2554.2287997084054,1475764.8150636412,2594.9597921671416,158413.19673060815,5474.1054492289795,3176201.7926662667,0.12466954918547049,0.0188865373598793
1990\segment_21.wav,0.4105123,0.09054,3109.0163812855003,668992.963788555,2809.375415402651,146281.86448455922,6444.981412037328,1605139.8485209278,0.15146676762425873,0.008802919323726623
1990\segment_22.wav,0.3272297,0.08792254,1842.780091194091,1058505.0124072724,1954.3056956846583,192283.19337579838,3505.4744951589496,2462400.131111404,0.09607822089261982,0.010727774121155175
1990\segment_23.wav,0.34634963,0.09023423,2114.3565224951703,771640.6049841794,2163.5842609902606,258482.9325586445,4148.873801216621,2876634.5849212776,0.10629031217750258,0.004639490262212851
1990\segment_24.wav,0.24910805,0.09223744,1582.3449944712304,846355.9588112745,1974.7269108149612,204548.2595689908,3031.822157783742,3094486.6998511064,0.06413384814009475,0.005240138949555891
1990\segment_25.wav,0.33630022,0.0920184,2541.9338252092302,1198639.2806917652,2791.799700106874,331495.81709695293,5809.751191390369,5390390.583199164,0.10644540072499774,0.006576167954493879
1990\segment_26.wav,0.33401138,0.0947324,2657.3951426160947,641962.5094982211,2669.822144413525,206274.2191146144,5777.294890049597,2587380.758174878,0.12254415297325648,0.0043747935611412655
1990\segment_27.wav,0.33686748,0.09564858,2425.696050233386,861572.7315682912,2703.580037778824,237320.78110567856,5491.190869594137,3944470.415745107,0.10015732667107413,0.00556047042593628
1990\segment_28.wav,0.3922311,0.08515993,2524.940954238051,889345.4879669253,2638.9113781562096,200504.4646228954,5515.622106131567,2937258.2515322785,0.11429704095072347,0.008825531341924413
1990\segment_29.wav,0.4316059,0.08342821,3371.948297380357,721896.2484138629,3015.198039523948,126503.43810810955,7143.055315011688,1786656.2701799371,0.1653671825751208,0.007054041352097466
1990\segment_3.wav,0.4048971,0.08894958,2548.44291295025,1246039.699614578,2842.6590767695693,324801.3796552167,5904.742234451149,5126518.706274991,0.10048593904008324,0.009363472651785094
1990\segment_30.wav,0.33924302,0.091721065,2882.0679844549245,595174.3592590818,2793.4170772457674,124842.59147018087,6078.474938882324,1709487.690349393,0.12696211852160283,0.006631553623583996
1990\segment_31.wav,0.46287227,0.082552515,2697.3438753292094,514431.95790112927,2736.11040916995,121491.15509050911,5899.765729801829,1747246.5610076513,0.11880849847560976,0.005035200483731753
1990\segment_32.wav,0.36067992,0.091999955,2561.3197978490557,785110.165835384,2694.3212373198885,259374.87410396617,5642.570186518267,3850526.3789445353,0.11908888088313829,0.004508324916685913
1990\segment_33.wav,0.4084994,0.09290444,2689.2605546647987,850730.2553175666,2580.1552395326803,165906.82921304702,5514.788905835712,2703753.584838353,0.13540067988008792,0.008203967140536159
1990\segment_34.wav,0.31990263,0.08759139,2617.888235619434,556682.164146129,2817.955977659697,111046.92873178949,5973.880210727371,1905967.9846590864,0.107922622350415,0.004325005326209701
1990\segment_35.wav,0.35309416,0.08991539,1995.5840394056886,1129256.159796342,2540.5607088743664,224787.35797995477,4448.282849523871,5162459.8817921225,0.08017830145658113,0.009862556325711688
1990\segment_36.wav,0.4321472,0.08563295,3039.69893021735,844565.7056033309,2886.936266711407,184400.8091587603,6620.54705179407,2421619.217441372,0.1405907399061573,0.009076323012895859
1990\segment_37.wav,0.36702394,0.08911799,2705.448930990655,744214.648738875,2753.21667559954,92362.3031049961,6005.073374208463,1930012.3443622487,0.11841819058448086,0.007444924238652087
1990\segment_38.wav,0.4910277,0.08093607,3049.845870576482,542251.0932896036,2856.225547121122,98598.0434959944,6566.777914585091,1400949.337509041,0.1215806828206505,0.004848319643232621
1990\segment_39.wav,0.4519592,0.083315395,3410.339063219039,1009966.2545831039,2827.112917535604,84169.25392773352,6800.859299600092,1468041.7714764127,0.186455898433222,0.01522711566739319
1990\segment_4.wav,0.34114036,0.092029996,2426.0820828918013,766204.8673150537,2672.095695356253,200919.288205177,5579.637642001396,2842120.9399395236,0.10334591221530486,0.00669868439538364
1990\segment_40.wav,0.45266223,0.08098226,2496.637757592371,718258.667040429,2609.8408996656453,145173.7133734936,5327.527684355945,2266615.713279345,0.11599409298780487,0.007090107254119092
1990\segment_41.wav,0.3852485,0.100312896,2570.792665401035,867543.4731323932,2666.5940662504167,227399.86015253048,5496.078897180211,3353440.209439938,0.10389344620366919,0.006542029821731792
1990\segment_42.wav,0.3926942,0.090608485,2252.3727741591515,711609.7025468372,2531.300235911895,205006.1719884587,4959.96873023927,3192585.005188625,0.08882561711756341,0.004573730230569333
1990\segment_43.wav,0.4159582,0.08733324,2531.6335062312173,1059717.8639263157,2666.91323091834,275792.6209793152,5624.82483273834,3981936.9646877097,0.10896060803305424,0.009356860830817259
1990\segment_44.wav,0.38494417,0.09346542,2157.645680845446,886407.5308831029,2459.0520776059097,265846.1131662003,4692.7416236334175,3654690.246772152,0.08817936097136223,0.006275549851994928
1990\segment_45.wav,0.44134843,0.08383605,2850.5049335987546,745377.682689623,2929.252850960644,163427.3589743294,6509.338799838362,2100691.9196765567,0.11945633614514375,0.006458750375206277
1990\segment_46.wav,0.34157154,0.09125598,2109.4749448255425,1092984.8116666698,2335.1730054935724,304018.5581944337,4508.701189218411,4378206.518508525,0.09367786425787673,0.00783342171551885
1990\segment_47.wav,0.28218868,0.088632196,1887.1787337589938,796840.3859546845,2149.5689961149014,269595.5795361823,3861.7728155173163,3383612.533158197,0.0822573228636679,0.004888338378772372
1990\segment_48.wav,0.27448812,0.08996667,1714.814915629452,1075526.3975230816,2143.210654332913,231462.1856065946,3365.2894507800097,3641716.7177053536,0.07821720075597836,0.00953064349185327
1990\segment_49.wav,0.42128098,0.0909844,2528.761621452183,1033181.5758349592,2488.8654134910685,196169.44075602273,5215.26276854783,3172413.710822575,0.11896398248057298,0.00907875047428642
1990\segment_5.wav,0.3539729,0.085954964,2646.831250202027,513815.6934242281,2746.0102126722186,87478.74056697202,5818.896295411668,1641817.5215903465,0.12035393755912453,0.005576246177942787
1990\segment_50.wav,0.41583866,0.08184111,2749.7948700716674,510220.98645972385,2645.7318069941102,145917.50837857588,5836.8944392134645,1851339.5998951087,0.13733899091873675,0.004116169237652594
1990\segment_51.wav,0.32924828,0.086389445,2660.811549092673,670315.3225790148,2701.131154486871,158619.6054538511,5945.194151802416,2116168.424513317,0.1195571210236033,0.005481738451858563
1990\segment_52.wav,0.30189267,0.09158454,1757.9217468679794,604044.7677340739,2233.189566430197,215871.0687673632,3785.7563636011087,2808557.635025668,0.06721166567525434,0.003663232818423823
1990\segment_53.wav,0.28133336,0.08722444,2028.2602976816713,883550.7848425782,2380.289294126899,280765.9615433252,4225.712183595614,3834480.8002013005,0.08801409306416985,0.007154082597836636
1990\segment_54.wav,0.441021,0.0902439,2556.2138551424737,987558.0176785984,2614.91077800703,253909.45562408527,5505.963300865618,3735384.1752115977,0.11702234914956804,0.009258385937027352
1990\segment_55.wav,0.39657474,0.08762573,2519.374384903004,1044976.6255021327,2615.903243357295,207771.37627174502,5321.619913763591,3743303.090585053,0.1275014966719806,0.008592720773434908
1990\segment_56.wav,0.41349158,0.0916724,2587.8205736530595,619169.5494632497,2638.3482344675936,123286.73779326084,5562.921066938751,2235900.215462832,0.12763015557971877,0.005685270741846506
1990\segment_57.wav,0.45634767,0.08528198,3251.196136600689,631817.6976502362,2743.8531109626706,177219.9436135608,6609.642959222561,1550708.5751666036,0.17890348704268294,0.007839573512933426
1990\segment_58.wav,0.34480643,0.08749759,2203.37505065302,811514.0687979878,2522.697748925325,245501.24814748496,4920.330408563066,3506500.9111571126,0.09649819944971946,0.007654023479448268
1990\segment_59.wav,0.4013827,0.08725622,2951.658260502555,853689.3293721968,2812.2037316110227,173799.83913113573,6382.491998210352,2454247.385227786,0.14518569744631057,0.009041350365222547
1990\segment_6.wav,0.39592913,0.091836706,3488.315547761976,686497.2347496096,3211.7250622520096,86473.45923183626,7620.476952175857,1112122.8723517265,0.1531178286987041,0.008057646246826464
1990\segment_60.wav,0.37016925,0.088272795,2793.0431212031303,492108.48571832594,2887.9560769014333,106627.3533851242,6274.356267319826,1715027.2705426484,0.12202341712373427,0.004515781151337944
1990\segment_61.wav,0.3238823,0.089642316,2413.5655781775117,1277734.142828799,2592.1339141806307,191990.81082828355,5077.177279340387,3622373.222095669,0.11504648809290347,0.011998944056327414
