filename,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var
1970\segment_1.wav,0.32276273,0.086215295,2441.8103059453356,384349.61498379003,2355.0847610790156,131224.38021119006,4806.321728386791,1718006.7992605807,0.13046713957371373,0.002532274795948238
1970\segment_10.wav,0.27643403,0.091757625,3132.4030536876176,503482.56905151677,2983.4562988146026,127950.97550933069,6824.468832878803,1789659.3086513393,0.13066183973964887,0.0030324921868893208
1970\segment_11.wav,0.26821342,0.09467662,1862.2815778609381,666619.9781683182,2391.4744137501048,290432.31323217985,4066.2780219863275,3714069.790800875,0.07598619919118484,0.0031830452726932957
1970\segment_12.wav,0.31850943,0.08737366,2193.7376129184067,469406.7136285885,2301.363326921043,159313.3380347082,4561.284186829378,2231808.471912797,0.10738835281161441,0.002511632856394327
1970\segment_13.wav,0.2934994,0.09029297,1749.9422854617458,257305.77309941562,1809.2107986268834,129477.8520780851,3217.9538207836604,1090945.3865182563,0.09792211484143681,0.0015636747547993412
1970\segment_14.wav,0.26111156,0.088441476,2076.73216924064,738825.3729355155,2147.1129240815176,157586.88689462823,3941.2584314285396,2255932.4583188244,0.10619981045004055,0.004407566547667548
1970\segment_15.wav,0.27259842,0.0892384,1739.1113141373426,236972.12128974634,1851.7719508806128,112726.29129596411,3410.2925308486615,1046392.4140687244,0.0838346524225439,0.001661361451832134
1970\segment_16.wav,0.32270813,0.09594916,2072.8729333133674,621857.054660173,2457.906835868292,293423.8081986126,4669.05830320248,3709918.54344648,0.0746724422594451,0.0022447262084077063
1970\segment_17.wav,0.25592345,0.09836348,1330.511150925,369988.12956618814,1774.3757694433868,200606.93570323917,2610.619494379783,2015090.1495889511,0.05007836700528426,0.0013769344172354797
1970\segment_18.wav,0.29208824,0.097770765,1252.6344049319523,427706.616131105,1621.065112801344,199226.07311722674,2293.7521705186823,1871159.3234149772,0.05580899162145607,0.002035734962603274
1970\segment_19.wav,0.26294482,0.092869885,2504.3560137609966,645679.4321609212,2457.2087328972166,173918.07344817455,5041.991762365408,2716943.510188133,0.11634947469236127,0.004328915727371807
1970\segment_2.wav,0.31841153,0.08504469,1868.1871653853627,170163.5627785542,1973.0332617404401,63591.36035088267,4000.0742129878304,553184.2219783437,0.08798375919942919,0.001606612629109504
1970\segment_20.wav,0.26792556,0.091058336,1855.4801112090647,581069.4962442045,2133.1183310112224,307816.9592283615,3941.0400672640276,3156471.2787657687,0.0790906203072658,0.0019761111082356926
1970\segment_21.wav,0.2753954,0.08995236,1780.2475494260366,336276.2793639771,2218.5949971741097,150409.3769140327,3775.832787412425,1841415.2800746919,0.07404589197665709,0.001546664149836931
1970\segment_22.wav,0.33786422,0.09813592,2416.710939967824,674089.6569543361,2350.931090717167,252665.19034752547,4826.036623817332,2650039.671330325,0.11615133539126346,0.0033276742662501843
1970\segment_23.wav,0.30338398,0.087232895,1779.3908630425628,437874.57866866677,2076.0482830543133,242358.45743273897,3634.8590767616247,2173128.5441730437,0.08309626247767572,0.0020405508262711447
1970\segment_24.wav,0.4262036,0.08902633,2306.1338561445764,433599.3830886708,2457.9494292582563,151229.17766584095,5003.246840497039,1719515.8575711742,0.10132624970583622,0.0021987210170249186
