filename,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var
2010-1\segment_1.wav,0.39905095,0.08895444,2927.146270405412,854896.2236888655,2678.93594294321,125674.22515185215,5929.567343496213,2401324.6831665323,0.14034864186148685,0.009575943870518043
2010-1\segment_10.wav,0.30692565,0.09043151,1789.3582524439787,1088160.8443882822,2029.1082843323563,329915.0817273488,3543.5422512634386,3550434.0086503164,0.08026247507823542,0.008921049349454075
2010-1\segment_11.wav,0.43012875,0.087557495,3080.2583556000286,854028.8821540746,2855.4127672567192,75281.62557292552,6591.310367822876,1605834.0089976923,0.12813981527084337,0.011344636532633595
2010-1\segment_12.wav,0.34057733,0.086713836,2872.2317639784537,927492.6083477126,2744.058309717319,176453.07970884469,6117.370821027836,2660954.3342119926,0.13706029139756376,0.0106204983468585
2010-1\segment_13.wav,0.44489053,0.08579998,3692.7549765121166,726661.3336311864,3020.7860604686593,76115.88622536257,7494.021903640843,1206921.4178585531,0.18321201885144275,0.011003997960547462
2010-1\segment_14.wav,0.32152706,0.09267472,2947.7027302484516,1071254.4971116246,2691.1092620524005,200488.44510325056,6032.270519204463,2847711.0255021253,0.14290935989751138,0.01113999492203385
2010-1\segment_15.wav,0.3714045,0.091214694,2877.009099772533,1235758.9388243132,2736.500119550174,283603.2268631988,6146.214983762116,3468915.02103642,0.12685829761116435,0.012686527785312544
2010-1\segment_16.wav,0.3812994,0.09322457,3121.1584827086335,1008978.5011783576,2901.6525651725447,107842.91377360756,6703.185874888882,2324704.4501487617,0.14931333149085219,0.012494205034819942
2010-1\segment_17.wav,0.38076317,0.092888236,3358.0302237041446,945261.8828992817,2742.7897038908964,188942.0424904196,6605.822611506707,2516371.1624530344,0.16943771655579937,0.011360105292617594
2010-1\segment_18.wav,0.33375162,0.08619087,2540.8888495385377,954691.4606200119,2481.338510028706,150662.87700704997,5157.72909460074,2558108.8270049286,0.12743986274048943,0.010137508836746004
2010-1\segment_2.wav,0.45284837,0.091339424,2547.77786839537,1228388.6827816456,2640.566953443239,219917.79910275596,5447.661926413205,3899648.9642254524,0.09696133999505135,0.011320556619302164
2010-1\segment_3.wav,0.33150944,0.089428805,2602.3758223398318,951424.9417329348,2646.0147197098263,227767.3616179848,5701.09714296844,3252734.1008834243,0.1256645431261163,0.009420546132602573
2010-1\segment_4.wav,0.36457762,0.08578919,2489.63922245634,1002922.9341337777,2647.3467200890636,191394.01637053868,5498.68476804623,3269405.261605803,0.10291113434978846,0.009139426748324169
2010-1\segment_5.wav,0.42615128,0.08651385,2863.2883667850606,1150816.646788219,2822.896938119865,148012.62031377113,6218.868874563985,2779986.502270773,0.13128608153490787,0.013907093876622752
2010-1\segment_6.wav,0.42842492,0.08966527,2660.8375005830744,892505.1549193228,2564.6364617163163,130337.74777002454,5429.822250101608,2438818.2793055833,0.12880497162512042,0.010478479793967663
2010-1\segment_7.wav,0.3586622,0.09760519,2906.5176593708447,1324632.0250480236,2575.684029150951,151997.17333990533,5750.644393306768,2808896.2999955416,0.14140522959800697,0.013043121493334664
2010-1\segment_8.wav,0.3716303,0.08966463,2685.475042830817,1101161.2858818625,2567.50635553108,142860.06121441862,5570.672267287878,2507808.347037609,0.13952247994181224,0.013321498050272182
2010-1\segment_9.wav,0.3228629,0.10048498,3276.312254887048,1341917.4888287534,2997.0122395691483,177993.21117516042,7011.573477532025,3176039.6778311143,0.15774455501901521,0.015172462165280768
